n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
10,3,2,4,0.9166666666666666,0.9444444444444444
10,3,10,2,0.9166666666666666,0.9444444444444444
10,3,10,4,0.9166666666666666,0.9444444444444444
10,3,2,2,0.9166666666666666,0.9444444444444444
10,3,5,4,0.9166666666666666,0.9444444444444444
10,3,5,2,0.9166666666666666,0.9444444444444444
30,3,10,4,0.875,0.9230769230769231
30,3,5,4,0.875,0.9230769230769231
30,3,2,4,0.875,0.9230769230769231
30,3,5,2,0.875,0.918918918918919
10,5,5,1,0.875,0.918918918918919
30,3,10,2,0.875,0.918918918918919
10,3,2,1,0.875,0.9142857142857143
10,5,2,2,0.875,0.9142857142857143
10,3,10,1,0.875,0.9142857142857143
10,5,10,1,0.875,0.9142857142857143
10,3,5,1,0.875,0.9142857142857143
10,5,10,4,0.875,0.9142857142857143
10,5,5,2,0.875,0.9142857142857143
10,5,10,2,0.875,0.9090909090909091
20,3,2,4,0.8333333333333334,0.8947368421052632
20,3,5,4,0.8333333333333334,0.8947368421052632
30,5,5,2,0.8333333333333334,0.8947368421052632
20,3,10,4,0.8333333333333334,0.8947368421052632
20,5,5,2,0.8333333333333334,0.8947368421052632
30,5,2,2,0.8333333333333334,0.8947368421052632
30,3,10,1,0.8333333333333334,0.8947368421052632
20,5,5,1,0.8333333333333334,0.8947368421052632
30,3,2,2,0.8333333333333334,0.8947368421052632
20,5,2,2,0.8333333333333334,0.8947368421052632
20,3,2,1,0.8333333333333334,0.8947368421052632
20,3,5,2,0.8333333333333334,0.8888888888888888
20,3,5,1,0.8333333333333334,0.8888888888888888
10,5,2,4,0.8333333333333334,0.8888888888888888
10,5,5,4,0.8333333333333334,0.8888888888888888
20,3,2,2,0.8333333333333334,0.8888888888888888
10,5,2,1,0.8333333333333334,0.8888888888888888
30,3,2,1,0.7916666666666666,0.8648648648648649
30,5,2,1,0.7916666666666666,0.8648648648648649
30,3,5,1,0.7916666666666666,0.8648648648648649
20,5,10,4,0.7916666666666666,0.8648648648648649
20,5,2,1,0.7916666666666666,0.8648648648648649
30,5,10,4,0.7916666666666666,0.8648648648648649
30,5,5,1,0.7916666666666666,0.8648648648648649
20,3,10,1,0.7916666666666666,0.8648648648648649
20,5,10,1,0.7916666666666666,0.8648648648648649
30,5,10,2,0.7916666666666666,0.8648648648648649
20,5,10,2,0.7916666666666666,0.8648648648648649
30,5,10,1,0.7916666666666666,0.8648648648648649
30,5,2,4,0.7916666666666666,0.8571428571428571
30,5,5,4,0.7916666666666666,0.8571428571428571
20,3,10,2,0.7916666666666666,0.8571428571428571
20,5,5,4,0.75,0.8333333333333334
20,5,2,4,0.75,0.8333333333333334
