n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
20,30,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
20,20,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
20,10,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,5,4,30,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,4,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,4,30,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,4,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
20,30,log2,2,4,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,5,4,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,5,4,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
20,10,log2,5,4,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,5,4,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,4,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,4,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,5,4,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,5,4,20,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,5,4,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,5,4,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,5,4,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,5,4,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
20,10,log2,5,4,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,4,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,4,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,4,20,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,4,20,1.0,1.0,1.0,1.0,1.0
20,10,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
20,30,log2,2,4,20,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,4,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,4,30,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
30,20,log2,2,4,30,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
30,30,log2,2,4,20,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
30,10,log2,2,4,30,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
30,10,sqrt,2,4,30,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
30,30,sqrt,2,4,30,0.975,0.972972972972973,0.9473684210526315,1.0,1.0
