learning_rate,epochs,context_size,accuracy,f1_score
0.1,50.0,5.0,0.8,0.75
0.05,10.0,5.0,0.8,0.75
0.1,30.0,5.0,0.8,0.75
0.05,10.0,3.0,0.8,0.75
0.05,30.0,3.0,0.8,0.75
0.05,50.0,3.0,0.8,0.75
0.1,30.0,3.0,0.8,0.75
0.1,50.0,3.0,0.8,0.75
0.05,50.0,5.0,0.8,0.75
0.05,30.0,5.0,0.8,0.75
0.1,10.0,5.0,0.7,0.6666666666666666
0.001,10.0,3.0,0.8,0.6666666666666666
0.001,30.0,5.0,0.8,0.6666666666666666
0.001,30.0,3.0,0.8,0.6666666666666666
0.1,10.0,3.0,0.7,0.6666666666666666
0.001,50.0,3.0,0.8,0.6666666666666666
0.001,10.0,5.0,0.8,0.6666666666666666
0.001,50.0,5.0,0.7,0.5714285714285714
