learning_rate,epochs,context_size,accuracy,f1_score
0.05,50.0,3.0,1.0,1.0
0.05,30.0,5.0,0.9166666666666666,0.9411764705882353
0.05,30.0,3.0,0.9166666666666666,0.9411764705882353
0.001,10.0,3.0,0.9166666666666666,0.9333333333333333
0.001,30.0,3.0,0.9166666666666666,0.9333333333333333
0.001,50.0,3.0,0.9166666666666666,0.9333333333333333
0.001,50.0,5.0,0.9166666666666666,0.9333333333333333
0.001,30.0,5.0,0.9166666666666666,0.9333333333333333
0.1,50.0,5.0,0.8333333333333334,0.8888888888888888
0.1,30.0,3.0,0.8333333333333334,0.8888888888888888
0.05,50.0,5.0,0.8333333333333334,0.8571428571428571
0.1,30.0,5.0,0.8333333333333334,0.8571428571428571
0.05,10.0,5.0,0.75,0.8235294117647058
0.1,10.0,3.0,0.75,0.8
0.1,10.0,5.0,0.6666666666666666,0.8
0.001,10.0,5.0,0.75,0.8
0.1,50.0,3.0,0.75,0.7692307692307693
0.05,10.0,3.0,0.75,0.7692307692307693
